collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,16384,TREE,LL,1,TREE,LL,0,5.63,0.81,20.14,0.65,3,11.367673179396103,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,1,,,0,5.89,0.8,18.06,0.66,3,4.5840407470288556,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,2,TREE,LL,0,5.84,1.0,18.51,0.76,3,4.452054794520544,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,4,TREE,LL,0,5.93,1.12,19.89,0.76,3,2.6981450252950974,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,8,TREE,LL,0,5.96,1.2,16.8,0.85,3,0.5033557046979759,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,16,TREE,LL,0,5.97,1.19,15.91,0.86,3,0.8375209380234625,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,24,TREE,LL,0,6.01,1.2,17.35,0.86,3,11.813643926788684,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,32,TREE,LL,0,6.06,1.19,16.83,0.9,3,4.455445544554449,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,40,TREE,LL,0,6.02,1.18,15.98,0.85,3,4.817275747508306,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,48,TREE,LL,0,5.96,1.18,16.92,0.88,3,5.536912751677853,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,TREE,LL,56,TREE,LL,0,5.92,1.2,18.24,0.85,3,13.17567567567568,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,1,RING,LL,0,14.68,1.58,5.81,1.59,3,96.11716621253406,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,2,RING,LL,0,10.8,1.98,6.12,2.0,3,126.01851851851853,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,4,RING,LL,0,16.28,2.01,6.25,2.02,3,76.84275184275184,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,8,RING,LL,0,10.17,1.97,6.36,1.97,3,40.31465093411995,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,16,RING,LL,0,7.21,2.0,6.7,2.03,3,192.78779472954233,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,24,RING,LL,0,17.23,1.99,6.58,2.03,3,19.965177016831102,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,32,RING,LL,0,8.01,1.98,6.34,2.01,3,112.8589263420724,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,40,RING,LL,0,7.42,1.97,6.84,1.98,3,15.363881401617258,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,48,RING,LL,0,13.23,1.98,6.12,2.01,3,75.73696145124717,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,32768,RING,LL,56,RING,LL,0,10.49,2.0,6.86,2.04,3,117.34985700667299,1024,float,sum,0.09,0.08,0,0
